"Python plní objekt dataJednohoSouboru, kter? obsahuje jednotlivá pole:",,,,,,,,,
jeTotoKod,,,,,,,,,
klicoveSlovo,,,,,,,,,
koncovyStrrednik,,,,,,,,,
konecBloku,,,,,,,,,
nazeInstance,,,,,,,,,
nazevMetody,,,,,,,,,
nazevTridy,,,,,,,,,
poleRadku,,,,,,,,,
slozenaZavorka,,,,,,,,,
volanaInstance,,,,,,,,,
volanaMetoda,,,,,,,,,
volanaTrida,,,,,,,,,
zacatekBloku,,,,,,,,,
,,,,,,,,,
,poleRadku,jeTotoKod,klicoveSlovo,koncovyStrednik,nazevMetody,slozenaZavorka,volanaMetoda,zacatekBloku,konecBloku
0,,True,False,False,,'','',-1,-1
1,package createOutput;,True,False,True,,'','',-1,-1
2,,True,False,False,,'','',-1,-1
3,import java.io.File;,True,False,True,,'','',-1,-1
4,import java.io.FileWriter;,True,False,True,,'','',-1,-1
5,import java.io.IOException;,True,False,True,,'','',-1,-1
6,import java.util.ArrayList;,True,False,True,,'','',-1,-1
7,import java.util.HashMap;,True,False,True,,'','',-1,-1
8,,True,False,False,,'','',-1,-1
9,,True,False,False,,'','',-1,-1
10,public class createOutput {,True,False,False,,'{','',-1,-1
11,,True,False,False,,'','',-1,-1
12,//zatim nepouzivam,False,False,False,,'','',-1,-1
13,"//createLog(ArrayList<ArrayList<ArrayList<HashMap>>> data){""",False,False,False,,'{','',-1,-1
14,,True,False,False,,'','',-1,-1
15,//},False,False,False,,'}','',-1,-1
16,,True,False,False,,'',' ',-1,-1
17,,True,False,False,,'',' ',-1,-1
18,"public createOutput(ArrayList<ArrayList>logArrStr, String adresaProjektu, String nazevLogu){""",True,False,False,createOutput,'{','createOutput',18,30
19,,True,False,False,,'',' ',-1,-1
20,String adresaProjektuFull;,True,False,True,,'',' ',-1,-1
21,"adresaProjektuFull = ziskejAdresuKamGenerovat(adresaProjektu, nazevLogu);""",True,False,True,,'','ziskejAdresuKamGenerovat',34,42
22,,True,False,False,,'',' ',-1,-1
23,String text;,True,False,True,,'',' ',-1,-1
24,text = vytvorPoleRadkuTxt(logArrStr);,True,False,True,,'','vytvorPoleRadkuTxt',44,66
25,,True,False,False,,'',' ',-1,-1
26,//vytiskne vystup do csv,False,False,False,,'',' ',-1,-1
27,"vytiskniVystup(text, adresaProjektuFull);""",True,False,True,,'','vytiskniVystup',68,80
28,,True,False,False,,'',' ',-1,-1
29,},True,False,False,,'}',' ',-1,-1
30,,True,False,False,,'',' ',-1,-1
31,,True,False,False,,'',' ',-1,-1
32,,True,False,False,,'',' ',-1,-1
33,,True,False,False,,'','',-1,-1
34,"private String ziskejAdresuKamGenerovat(String adresaProjektu, String nazevLogu){""",True,False,False,ziskejAdresuKamGenerovat,'{',' ',-1,-1
35,,True,False,False,,' ',' ',-1,-1
36,String adresaProjektuFull;,True,False,True,,' ',' ',-1,-1
37,adresaProjektuFull = adresaProjektu + nazevLogu;,True,False,True,,' ',' ',-1,-1
38,,True,False,False,,' ',' ',-1,-1
39,return(adresaProjektuFull);,True,True,True,,' ',' ',-1,-1
